time,open,max,min,close,result
2023-05-14 05:34:00,1.108935,1.109065,1.108925,1.108995,loss
2023-05-14 05:35:00,1.108995,1.109005,1.108835,1.108845,loss
2023-05-14 05:36:00,1.108895,1.108905,1.108805,1.108825,loss
2023-05-14 05:37:00,1.108815,1.109055,1.108795,1.109045,loss
2023-05-14 05:38:00,1.109065,1.109155,1.108985,1.109155,loss
2023-05-14 05:39:00,1.109155,1.109195,1.109115,1.109195,loss
2023-05-14 05:40:00,1.109195,1.109335,1.109155,1.109295,loss
2023-05-14 05:41:00,1.109295,1.109295,1.109185,1.109185,loss
2023-05-14 05:42:00,1.109195,1.109285,1.109135,1.109285,loss
2023-05-14 05:43:00,1.109275,1.109275,1.109155,1.109225,loss
2023-05-14 05:44:00,1.109225,1.109225,1.109025,1.109055,loss
2023-05-14 05:45:00,1.109065,1.109265,1.109065,1.109185,loss
2023-05-14 05:46:00,1.109185,1.109305,1.109145,1.109165,loss
2023-05-14 05:47:00,1.109175,1.109185,1.109085,1.109105,loss
2023-05-14 05:47:59,1.109105,1.109105,1.108985,1.108995,loss
2023-05-14 05:47:59,1.109105,1.109105,1.108985,1.108995,loss
2023-05-14 05:53:00,1.109265,1.109295,1.108965,1.108975,loss
2023-05-14 05:54:00,1.108975,1.108985,1.108745,1.108785,loss
2023-05-14 05:55:00,1.108785,1.108895,1.108785,1.108885,loss
2023-05-14 05:56:00,1.108885,1.109145,1.108885,1.109125,loss
2023-05-14 05:57:00,1.109115,1.109235,1.109105,1.109225,loss
2023-05-14 05:58:00,1.109215,1.109245,1.109145,1.109165,loss
2023-05-14 05:59:00,1.109155,1.109295,1.109115,1.109235,loss
2023-05-14 06:00:00,1.109245,1.109245,1.109155,1.109195,loss
2023-05-14 06:01:00,1.109195,1.109385,1.109135,1.109385,loss
2023-05-14 06:02:00,1.109395,1.109605,1.109375,1.109565,loss
2023-05-14 06:03:00,1.109615,1.109655,1.109565,1.109605,loss
2023-05-14 06:04:00,1.109605,1.109655,1.109525,1.109645,loss
2023-05-14 06:05:00,1.109645,1.109705,1.109405,1.109415,loss
2023-05-14 06:06:00,1.109405,1.109445,1.109335,1.109435,loss
2023-05-14 06:07:00,1.109475,1.109485,1.109215,1.109245,loss
2023-05-14 06:08:00,1.109255,1.109295,1.109235,1.109275,loss
2023-05-14 06:09:00,1.109285,1.109325,1.109185,1.109255,loss
2023-05-14 06:10:00,1.109245,1.109285,1.109205,1.109245,loss
2023-05-14 06:10:58,1.109285,1.109395,1.109275,1.109275,loss
